domain,v,p,pct,rua,ruf,sp,fo,rf,adkim,aspf,ri
_dmarc.signicat.pro.,DMARC1,reject,default,default,default,reject,default,default,s,s,default
_dmarc.skooldio.com.,DMARC1,reject,default,mailto:dmarc-reports@skooldio.com,default,default,default,default,default,default,default
_dmarc.sks.com.,DMARC1,none,default,mailto:dmarc-rua@rtsolutions.com,default,default,1,default,default,default,default
_dmarc.snowcatridge.com.,DMARC1,none,default,mailto:dmarc-reports@snowcatridge.com,default,default,default,default,default,default,default
_dmarc.soul-cycle.com.,DMARC1,none,default,mailto:souladmin@soul-cycle.com,default,default,default,default,default,default,default
_dmarc.spbcle.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.spx.vn.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.strazcenter.org.,DMARC1,quarantine,default,mailto:ndr@strazcenter.org,mailto:ndr@strazcenter.org,default,1,default,default,default,default
_dmarc.successories.com.,DMARC1,none,100,mailto:re+szwuq8bnywe@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.swedbank.ee.,DMARC1,reject,default,"mailto:dmarc-report@swedbank.se,mailto:dmarc_agg@vali.email",mailto:dmarc-report@swedbank.se,default,1,default,default,default,default
_dmarc.symbolsecurity.com.,DMARC1,quarantine,100,mailto:operations@symbolsecurity.com,default,default,default,default,default,default,default
_dmarc.tapwarehouse.com.,DMARC1,none,default,mailto:tech-team@beyondretail.co.uk,default,quarantine,default,default,default,default,default
_dmarc.teamallstar.com.,DMARC1,reject,100,mailto:dmarc@teamallstar.com,mailto:dmarc@teamallstar.com,default,0,default,r,r,86400
_dmarc.tecnoblog.net.,DMARC1,reject,default,mailto:dmarc-reports@tecnoblog.net,default,default,default,default,default,default,default
_dmarc.thethings.network.,DMARC1,reject,default,default,default,default,default,default,default,default,default
_dmarc.toroporno.com.,DMARC1,reject,100,default,default,default,default,default,default,default,default
_dmarc.trackitforward.com.,DMARC1,quarantine,90,mailto:jordan@trackitforward.com,default,none,default,default,default,default,default
_dmarc.transidoxuful-derunufor.info.,spf1 -all,default,default,default,default,default,default,default,default,default,default
_dmarc.tripadvisor.com.tr.,DMARC1,none,default,mailto:dmarc-rua@tripadvisor.com,default,default,default,default,default,default,default
_dmarc.tsohost.co.uk.,DMARC1,none,default,mailto:dmarc-aggregate@tsohost.co.uk,mailto:dmarc-forensic@tsohost.co.uk,default,1,default,default,default,7200
_dmarc.twicsy.com.,DMARC1,reject,default,mailto:report@twicsy.com,default,default,default,default,default,default,default
_dmarc.txfb-ins.com.,DMARC1,quarantine,default,mailto:00eea346b9b7375@rep.dmarcanalyzer.com,mailto:00eea346b9b7375@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.typora.io.,DMARC1,quarantine,100,mailto:dmarc@typora.io,default,default,default,default,default,default,default
_dmarc.uar.net.,DMARC1,none,default,mailto:postmaster@uar.net,default,none,default,default,default,default,default
_dmarc.udmedia.de.,DMARC1,reject,default,default,default,quarantine,default,default,default,default,default
_dmarc.umbrella-ms.com.,DMARC1,none,default,"mailto:dmarc_agg@vali.email,mailto:dmarc@umbrella-ms.com",mailto:dmarc@umbrella-ms.com,default,1,default,default,default,default
_dmarc.uncp.edu.,DMARC1,none,default,mailto:uncp@rua.dmp.cisco.com,mailto:uncp@ruf.dmp.cisco.com,default,1,default,default,default,3600
_dmarc.unitedmasters.com.,DMARC1,none,100,mailto:cs7fqp1k@ag.us.dmarcian.com,mailto:cs7fqp1k@fr.us.dmarcian.com,default,1,default,default,default,default
_dmarc.unroll.me.,DMARC1,none,default,mailto:dmarc-reports@unroll.me,default,default,default,default,default,default,default
_dmarc.usradiology.com.,DMARC1,none,default,default,default,none,default,default,default,default,default
_dmarc.uta.edu.ec.,DMARC1,quarantine,100,mailto:6fe1e3aa@mxtoolbox.dmarc-report.com,mailto:6fe1e3aa@forensics.dmarc-report.com,default,1,default,default,default,default
_dmarc.utpb.edu.,DMARC1,none,100,mailto:dmarc_agg@dmarc.250ok.net,mailto:dmarc_fr@dmarc.250ok.net,default,1,afrf,default,default,default
_dmarc.vanilladevelopment.com.,DMARC1,reject,25,mailto:reports@vanillaforums.com,mailto:reports@vanillaforums.com,default,1,afrf,r,r,default
_dmarc.veritivcorp.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.visions.ca.,DMARC1,quarantine,default,mailto:ruar@visions.ca,mailto:rufr@visions.ca,default,1,default,default,default,default
_dmarc.vitalitygroup.com.,DMARC1,none,default,"mailto:a.e5pmg1jn@sdmarc.net,mailto:dmarc@discovery.co.za",mailto:dmarc@discovery.co.za,none,default,default,s,r,default
_dmarc.webcafe.bg.,dmarc1,none,100,default,default,default,default,default,default,default,default
_dmarc.webike.net.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.wizdom.ai.,DMARC1,reject,default,mailto:servers@wizdom.ai,default,default,default,default,default,default,default
_dmarc.xperimentalhamid.com.,DMARC1,none,default,mailto:7774b8778837471596b068c15f9fafef@dmarc-reports.cloudflare.net,default,default,default,default,default,default,default
_dmarc.yipitdata.com.,DMARC1,reject,default,mailto:pnby3mki@ag.dmarcian.com,default,default,default,default,default,default,default
_dmarc.acemsd2.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.adidas.com.br.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.adpdvs.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.ahss.org.,DMARC1,reject,default,mailto:dmarc_agg@vali.email,default,default,1,default,default,default,3600
_dmarc.aipac.org.,DMARC1,reject,100,mailto:dmarc_agg@dmarc.everest.email,mailto:dmarc_fr@dmarc.everest.email,default,1,afrf,default,default,default
_dmarc.aisd.net.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.alaskapublic.org.,DMARC1,none,default,mailto:akpmit@alaskapublic.org,mailto:akpmit@alaskapublic.org,none,default,default,default,default,default
_dmarc.alohaprofile.com.,DMARC1,quarantine,100,default,default,default,1,default,default,default,default
_dmarc.alterraproperty.com.,DMARC1,quarantine,100,mailto:admin@alterraproperty.com,mailto:admin@alterraproperty.com,quarantine,default,default,default,default,default
_dmarc.anextour.com.,DMARC1,quarantine,default,mailto:postmaster@anextour.com,mailto:postmaster@anextour.com,none,default,afrf,r,r,default
_dmarc.anpd.org.,DMARC1,none,default,mailto:postmaster@smithbucklin.com,default,default,1,default,default,default,default
_dmarc.antarcticascenery.com.,spf1 a -all,default,default,default,default,default,default,default,default,default,default
_dmarc.aquafinance.com.,DMARC1,none,default,mailto:aquasoc@aquafinance.com,default,default,default,default,default,default,default
_dmarc.archilogic.com.,DMARC1,none,100,mailto:637b4ae1e7671@ag.dmarcly.com,mailto:637b4ae1e7671@fo.dmarcly.com,default,default,default,r,r,default
_dmarc.arvato-systems.de.,DMARC1,reject,100,mailto:asys-rua@dmarc.servicemail24.de,default,quarantine,default,default,default,default,86400
_dmarc.atricure.com.,DMARC1,quarantine,default,mailto:dmarc_agg@vali.email,default,quarantine,0:1:s,default,default,default,default
_dmarc.auchan.pt.,DMARC1,quarantine,default,mailto:rua_dmarc@auchan.com,default,quarantine,default,default,default,default,default
_dmarc.aykutcevik.com.,DMARC1,quarantine,default,default,default,default,default,default,default,default,default
_dmarc.bahamabreeze.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.beaconhealthsystem.org.,DMARC1,reject,default,mailto:rua+beaconhealthsystem.org@dmarc.barracudanetworks.com,mailto:ruf+beaconhealthsystem.org@dmarc.barracudanetworks.com,default,1,default,default,default,default
_dmarc.belco.org.,DMARC1,reject,default,mailto:vxy7oosd@ag.dmarcian.com,mailto:vxy7oosd@fr.dmarcian.com,default,1,default,default,default,default
_dmarc.bestsecret.nl.,DMARC1,reject,100,mailto:dkim@bestsecrettec.com,default,reject,default,afrf,default,r,default
_dmarc.bhmanagement.com.,DMARC1,quarantine,default,mailto:ITFax@livebh.com,default,default,1,default,r,r,default
_dmarc.bigw.com.au.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.bike-and-breakfast.info.,DMARC1,none,default,mailto:postmaster@bike-and-breakfast.info,mailto:postmaster@bike-and-breakfast.info,default,1,default,default,default,default
_dmarc.binhphuoc.gov.vn.,DMARC1,none,100,mailto:dmarc@binhphuoc.gov.vn,mailto:dmarc@binhphuoc.gov.vn,quarantine,default,afrf,default,default,86400
_dmarc.blackpeoplemeet.com.,DMARC1,reject,default,"mailto:c9cqd7qd@ag.dmarcian.com,mailto:4tjdn-8317@rua.dmarc.emailanalyst.com",default,default,default,default,default,default,default
_dmarc.blacksportsonline.com.,DMARC1,none,default,mailto:robertlittal@gmail.com,default,default,default,default,default,default,default
_dmarc.boc.lk.,DMARC1,none,default,mailto:ebanking@boc.lk,mailto:slm@boc.lk,default,1,default,default,default,default
_dmarc.brightchamps.com.,DMARC1,quarantine,10,mailto:support@brightchamps.com,default,quarantine,default,default,default,default,default
_dmarc.britsafe.org.,DMARC1,none,100,mailto:re+kywlechhv0i@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.brokerbay.com.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.c3isit.com.,DMARC1,quarantine,default,default,default,default,default,default,default,default,default
_dmarc.cabometyxhcp.com.,DMARC1,none,default,mailto:76580906d7dd.a@dmarcinput.com,mailto:76580906d7dd.f@dmarcinput.com,none,1,default,default,default,default
_dmarc.campanile.com.,DMARC1,quarantine,default,"mailto:aggrep@campanile.com,mailto:dmarc_agg@vali.email",mailto:authfail@campanile.com,default,default,default,default,default,default
_dmarc.car2go.com.,DMARC1,quarantine,default,mailto:dmarc-aggregated-reports-team@share-now.com,mailto:dmarc-failure-reports-team@share-now.com,default,1,default,default,default,default
_dmarc.castoredc.com.,DMARC1,quarantine,30,mailto:qd4rufsj@ag.eu.dmarcian.com,mailto:qd4rufsj@fr.eu.dmarcian.com,default,default,default,default,default,default
_dmarc.championenergyservices.com.,DMARC1,none,100,mailto:dmarcreports@calpine.com,mailto:dmarcreports@calpine.com,default,default,default,default,default,default
_dmarc.chillicothegazette.com.,DMARC1,none,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.chromacademy.com.,DMARC1,none,default,mailto:5ec678ebc69d9@ag.dmarcly.com,mailto:5ec678ebc69d9@fo.dmarcly.com,none,default,default,default,default,default
_dmarc.citycu.org.,DMARC1,none,100,default,default,default,default,default,default,default,default
_dmarc.citynational.com.,DMARC1,reject,100,mailto:fc7c79c92902726@rep.dmarcanalyzer.com,mailto:fc7c79c92902726@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.clipwiregames.com.,DMARC1,quarantine,100,mailto:dmarc@clipwiregames.com,default,default,default,default,r,r,default
_dmarc.cmc-nh.org.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.codingninjas.com.,DMARC1,quarantine,default,mailto:dmarc@codingninjas.com,default,default,default,default,default,default,default
_dmarc.compass-analytics.com.,DMARC1,none,default,mailto:RUA@COMPASS-ANALYTICS.COM,mailto:RUF@COMPASS-ANALYTICS.COM,default,1,default,default,default,default
_dmarc.constellationagency.com.,DMARC1,quarantine,100,mailto:reports@constellationagency.com,default,default,default,default,s,s,default
_dmarc.convergeoperations.com.,DMARC1,reject,100,mailto:reports@dmarc.cyber.dhs.gov,default,default,1,default,default,default,default
_dmarc.coram.org.uk.,DMARC1,quarantine,default,mailto:dmarc-rua@coram.org.uk,mailto:DMARC.Forensic@coram.org.uk,default,1,default,r,s,default
_dmarc.corpnet.com.,DMARC1,none,100,default,default,none,default,default,default,r,default
_dmarc.coventry.gov.uk.,DMARC1,quarantine,100,mailto:kjt2jJcZAcr@dmarc-rua.mailcheck.service.ncsc.gov.uk,default,default,1,default,default,default,default
_dmarc.cribbagepro.net.,DMARC1,none,1,mailto:dmarc_reports@fullersystems.com,default,default,default,default,default,default,default
_dmarc.criticaltechworks.com.,DMARC1,reject,default,mailto:dmarc@criticaltechworks.com,default,default,default,default,default,default,default
_dmarc.cvm.gov.br.,DMARC1,quarantine,100,mailto:dmarc_@cvm.gov.br,mailto:dmarc_@cvm.gov.br,default,1,default,default,default,default
_dmarc.cybertwice.com.,DMARC1,quarantine,100,mailto:dmarc@cybertwice.com,default,default,1,default,default,default,default
_dmarc.dailystory.com.,DMARC1,quarantine,100,mailto:security@dailystory.com,default,default,default,default,default,default,default
_dmarc.darkrhinosecurity.com.,DMARC1,quarantine,default,default,default,default,default,default,default,default,default
_dmarc.datocapital.com.,DMARC1,reject,default,default,default,default,default,default,default,default,default
_dmarc.db.tt.,DMARC1,reject,100,"mailto:c7xrs-8253@rua.dmarc.emailanalyst.com,mailto:dmarc@dropbox.com",default,default,default,default,default,default,default
_dmarc.demandgenreport.com.,DMARC1,none,default,"mailto:dmarc_agg@vali.email,mailto:a8992a7d@mxtoolbox.dmarc-report.com",mailto:a8992a7d@forensics.dmarc-report.com,default,default,default,default,default,default
_dmarc.derakaduth-irodoricure.info.,spf1 -all,default,default,default,default,default,default,default,default,default,default
_dmarc.dfa.ie.,DMARC1,none,default,mailto:dmarcreports@dfa.ie,mailto:dmarcreports@dfa.ie,none,1,default,default,default,86400
_dmarc.dior.fr.,DMARC1,quarantine,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.docsign-online.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.efty.com.,DMARC1,none,default,mailto:info@efty.com,mailto:info@efty.com,default,1,default,default,default,default
_dmarc.ekzm.net.,DMARC1,none,default,mailto:dmarc@ekzm.net,mailto:dmarc@ekzm.net,none,default,default,default,default,default
_dmarc.elle.de.,DMARC1,reject,default,mailto:91b8a374eae6474ca04523d062899c7d@dmarc-reports.cloudflare.net,default,default,default,default,default,default,default
_dmarc.empatica.com.,DMARC1,none,default,"mailto:35f1bc0c@in.mailhardener.com,mailto:8e907f5cf4@rua.easydmarc.eu","mailto:35f1bc0c@in.mailhardener.com,mailto:8e907f5cf4@rua.easydmarc.eu",default,1,default,default,default,default
_dmarc.enozixugist-microfamekoless.info.,spf1 -all,default,default,default,default,default,default,default,default,default,default
_dmarc.equipmentlocator.com.,DMARC1,none,default,mailto:emailalerts@tomrowe.com,default,default,default,default,default,default,default
_dmarc.eslite.com.,DMARC1,none,default,mailto:dmarc-report@eslite.com,default,default,default,default,default,default,default
_dmarc.ethanaturals.com.,DMARC1,none,100,mailto:dmarc@mailinblue.com!10m,mailto:dmarc@mailinblue.com!10m,none,default,afrf,default,default,86400
_dmarc.exite.com.,DMARC1,reject,100,mailto:hosting@exite.com,mailto:hosting@exite.com,default,1,default,default,default,default
_dmarc.explore.com.,DMARC1,quarantine,default,mailto:dmarc@explore.com,mailto:dmarc@explore.com,default,1,default,default,default,default
_dmarc.hornbill.co.,DMARC1,reject,default,mailto:90d93365@mxtoolbox.dmarc-report.com,default,reject,1,default,s,s,default
_dmarc.findmyshift.com.,DMARC1,reject,default,mailto:re+nont99qx4so@dmarc.postmarkapp.com,mailto:re+nont99qx4so@dmarc.postmarkapp.com,none,1,default,default,default,default
_dmarc.firefaucet.win.,DMARC1,none,default,mailto:atgamerfidelis@gmail.com,mailto:atgamerfidelis@gmail.com,none,default,default,default,default,86400
_dmarc.forbestravelguide.com.,DMARC1,none,default,"mailto:3tzwfjlg@ag.us.dmarcian.com, mailto:dmarcreports@forbestravelguide.com",default,default,default,default,default,default,default
_dmarc.fourhands.com.,DMARC1,quarantine,default,mailto:dmarcreports@fourhands.com,mailto:dmarcreports@fourhands.com,none,1,default,default,default,default
_dmarc.fractal.id.,DMARC1,none,100,mailto:dmarc@fractal.id,default,none,default,default,default,default,default
_dmarc.freerateupdate.com.,DMARC1,quarantine,default,mailto:dmarc@freerateupdate.com,mailto:dmarc@freerateupdate.com,default,1,default,default,default,default
_dmarc.frenchbee.com.,DMARC1,reject,default,mailto:t6rlj8im@ag.eu.dmarcadvisor.com,mailto:t6rlj8im@fr.eu.dmarcadvisor.com,reject,default,default,default,default,default
_dmarc.fundera.com.,DMARC1,quarantine,100,mailto:marketing@fundera.com,default,default,default,default,default,default,default
_dmarc.getgreenspark.com.,DMARC1,none,100,mailto:donat@getgreenspark.com,default,none,default,default,s,s,default
_dmarc.gn.com.,DMARC1,quarantine,100,mailto:6298b81c1f5b4@dmarc.centerasecurity.com,mailto:dmarc_reporting@gn.com,quarantine,1,default,default,default,default
_dmarc.golder.com.,DMARC1,none,100,mailto:rua@golder.com,mailto:ruf@golder.com,default,default,default,default,default,default
_dmarc.gorenje.com.,DMARC1,none,default,default,default,default,default,default,r,r,default
_dmarc.gsselect.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.gtplanet.net.,DMARC1,none,100,mailto:re+tlqf2k9dtma@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.guideposts.org.,DMARC1,quarantine,default,mailto:149c4ac83c3dc24a@dmarc.kickbox.com,default,default,default,default,default,default,default
_dmarc.heyfiesta.com.,DMARC1,reject,100,mailto:dmarc-rua@corp.badoo.com,default,default,1,default,default,default,default
_dmarc.hint.app.,DMARC1,quarantine,default,mailto:16465120b131996@rep.dmarcanalyzer.com,mailto:16465120b131996@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.ibercaja.es.,DMARC1,none,default,mailto:rua_dmarc@ibercaja.es,mailto:ruf_dmarc@ibercaja.es,none,1,default,default,default,3600
_dmarc.ilutulument.info.,spf1 -all,default,default,default,default,default,default,default,default,default,default
_dmarc.imp.ch.,DMARC1,none,default,mailto:dmarc-report@imp.ch,mailto:dmarc-report@imp.ch,none,default,default,r,r,default
_dmarc.indeni.com.,DMARC1,none,default,mailto:dmarc@indeni.com,mailto:dmarc@indeni.com,default,1,default,default,default,default
_dmarc.indicedebonheur.com.,DMARC1,none,default,mailto:dnsadmin@leger360.com,mailto:dnsadmin@leger360.com,default,default,default,default,default,default
_dmarc.indoor.app.,DMARC1,reject,default,mailto:no-reply@indoor.app,default,default,default,default,s,r,default
_dmarc.inhandnetworks.com.,DMARC1,quarantine,100,default,mailto:dengrq@inhandnetworks.com,default,1,default,default,default,default
_dmarc.interhostsolutions.be.,DMARC1,none,default,mailto:dmarc@xmdud94q.uriports.com,mailto:dmarc@xmdud94q.uriports.com,default,1:d:s,default,default,default,default
_dmarc.ipban.com.,DMARC1,quarantine,50,default,default,none,default,default,r,r,default
_dmarc.ipc.org.,DMARC1,quarantine,1,"mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:postmaster@ariticmailmta.com","mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:postmaster@ariticmailmta.com",default,1,default,default,default,default
_dmarc.irapicufy-irezature.info.,spf1 -all,default,default,default,default,default,default,default,default,default,default
_dmarc.jecromaha.info.,spf1 -all,default,default,default,default,default,default,default,default,default,default
_dmarc.jeffco.k12.co.us.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.jeresiliemoncontrat.com.,DMARC1,none,default,mailto:serveurs@jeresiliemoncontrat.com,mailto:serveurs@jeresiliemoncontrat.com,default,1,default,default,default,default
_dmarc.jluxlabel.com.,DMARC1,quarantine,default,mailto:device@jluxlabel.com,default,default,default,default,default,default,default
_dmarc.jpmorganaccess.com.,DMARC1,reject,100,mailto:d@rua.agari.com,mailto:d@ruf.agari.com,default,1,default,default,default,default
_dmarc.kenjo.io.,DMARC1,quarantine,default,mailto:dmarc@kenjo.io,mailto:dmarc@kenjo.io,default,1,default,default,default,default
_dmarc.kizen.com.,DMARC1,none,default,mailto:ian@kizen.com,default,default,default,default,default,default,default
_dmarc.klascement.net.,DMARC1,none,100,mailto:dmarc@klascement.net,mailto:dmarc@klascement.net,none,default,afrf,r,r,604800
_dmarc.laerd.com.,DMARC1,none,100,mailto:re+3aedd1145974@inbound.dmarcdigests.com,default,none,default,default,default,default,default
_dmarc.lakecountyil.gov.,DMARC1,none,default,mailto:dmarc-do-not-reply@lakecountyil.gov,default,default,1,default,default,default,default
_dmarc.lambeth.gov.uk.,DMARC1,quarantine,100,"mailto:6c9165a4@inbox.ondmarc.com,mailto:dmarc-rua@dmarc.service.gov.uk",mailto:6c9165a4@inbox.ondmarc.com,default,1,default,default,default,3600
_dmarc.ldp.net.id.,DMARC1,quarantine,default,mailto:dmarc@ldp.net.id,mailto:dmarc@ldp.net.id,quarantine,default,default,default,default,default
_dmarc.learncpp.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.lexulous.com.,DMARC1,none,100,default,default,none,default,default,default,r,default
_dmarc.libertysupply.com.,DMARC1,quarantine,100,default,default,default,default,default,default,default,default
_dmarc.m3central.net.,DMARC1,none,default,mailto:d88cf6963651439@rep.dmarcanalyzer.com,mailto:d88cf6963651439@for.dmarcanalyzer.com,none,1,default,default,default,default
_dmarc.medplastgroup.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.meuplanoclaro.com.br.,DMARC1,quarantine,100,default,default,default,1,default,default,default,default
_dmarc.mimeridian.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.moderncampus.com.,DMARC1,quarantine,default,mailto:c75846d9b427812@rep.dmarcanalyzer.com,mailto:c75846d9b427812@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.modernstates.org.,DMARC1,none,default,"mailto:1ca6b975e9e24fbc8b6433a8edee4bb5@dmarc-reports.cloudflare.net,mailto:13620422ea73.a@dmarcinput.com",mailto:13620422ea73.f@dmarcinput.com,none,1,default,default,default,default
_dmarc.myavanti.ca.,DMARC1,quarantine,100,mailto:itservices@avantisoft.com,mailto:itservices@avantisoft.com,none,1,default,r,r,86400
_dmarc.mymomentive.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.nasafcu.com.,DMARC1,reject,default,mailto:af63mdeq@ag.dmarcian.com,default,default,default,default,default,default,default
_dmarc.nyx.com.,DMARC1,reject,default,mailto:dmarc-reports@ice.com,mailto:dmarc-forensics@ice.com,default,1,default,default,default,default
_dmarc.officechairsusa.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.onlyfansrips.com.,spf1 -all,default,default,default,default,default,default,default,default,default,default
_dmarc.optiver.com.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.orangelogic.com.,DMARC1,reject,default,mailto:dmarc_rua@orangelogic.com,mailto:dmarc_ruf@orangelogic.com,default,default,default,default,default,default
_dmarc.orau.gov.,DMARC1,reject,100,"mailto:reports@dmarc.cyber.dhs.gov,mailto:dmarc@orau.gov!10m",mailto:dmarc@orau.gov!10m,reject,default,afrf,default,default,86400
_dmarc.paragould.net.,DMARC1,quarantine,80,mailto:postmaster@paragould.net,mailto:postmaster@paragould.net,default,0,default,s,s,default
_dmarc.paulaschoice-eu.com.,DMARC1,quarantine,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.paydollar.com.,DMARC1,quarantine,default,mailto:postmaster@paydollar.com,default,default,default,default,default,default,default
_dmarc.pcnetinc.com.,DMARC1,none,default,mailto:nocteam@pcnetinc.com,default,default,default,default,default,default,default
_dmarc.penske.com.,DMARC1,reject,default,"mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:8da4c708@mxtoolbox.dmarc-report.com","mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:8da4c708@forensics.dmarc-report.com",default,default,default,default,default,default
_dmarc.philis.co.uk.,DMARC1,none,default,"mailto:dmarcreports@scpha.gov.uk,mailto:7a6165c3@mxtoolbox.dmarc-report.com","mailto:dmarcreports@scpha.gov.uk,mailto:7a6165c3@forensics.dmarc-report.com",default,1,default,default,default,default
_dmarc.phongvu.vn.,DMARC1,none,default,mailto:administrator@phongvu.vn,default,default,1,default,default,default,default
_dmarc.planable.io.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.ports.se.,DMARC1,reject,default,"mailto:rua@dmarc.portsgroup.com,mailto:yupgxtij@ag.eu.dmarcadvisor.com",default,default,default,default,default,default,default
_dmarc.powells.com.,DMARC1,quarantine,10,mailto:abuse@powells.com,mailto:abuse@powells.com,default,default,default,default,default,default
_dmarc.prensa-latina.cu.,DMARC1,reject,100,mailto:redes@prensa-latina.cu,mailto:redes@prensa-latina.cu,none,1,default,r,r,86400
_dmarc.primeinc.org.,DMARC1,quarantine,100,"mailto:re+d4kr1nrd16t@dmarc.postmarkapp.com,mailto:re+yaxficiosw6@dmarc.postmarkapp.com",default,quarantine,default,default,default,default,default
_dmarc.provident.bank.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.publicholidays.com.my.,DMARC1,reject,default,mailto:dmarc@publicholidays.global,default,default,default,default,default,default,default
_dmarc.realitybasedreports.com.,DMARC1,none,100,default,default,default,default,default,default,default,default
_dmarc.realpagelearning.com.,DMARC1,reject,default,mailto:dmarc_reporting@realpage.com,mailto:dmarc_reporting@realpage.com,default,1,default,default,default,default
_dmarc.redprairie.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.revlocal.com.,DMARC1,none,default,mailto:rua+revlocal.com@dmarc.barracudanetworks.com,mailto:ruf+revlocal.com@dmarc.barracudanetworks.com,default,1,default,default,default,default
_dmarc.rocksbox.com.,DMARC1,none,default,mailto:marketingreports@rocksbox.com,mailto:marketingreports@rocksbox.com,default,default,default,default,default,default
_dmarc.rozetka.ua.,DMARC1,none,default,mailto:quarantine@rozetka.com.ua,default,default,default,default,default,default,default
_dmarc.rpg-club.org.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.rullionsolutions.com.,DMARC1,reject,default,mailto:63e20db012@rua.easydmarc.eu,mailto:63e20db012@ruf.easydmarc.eu,default,1,default,default,default,default
