domain,v,p,pct,rua,ruf,sp,fo,rf,adkim,aspf,ri
_dmarc.blacklineondemand.com.,DMARC1,reject,100,mailto:dmarc.rua@blacklineondemand.com,mailto:dmarc.ruf@blacklineondemand.com,default,default,default,default,default,default
_dmarc.blinklearning.com.,DMARC1,reject,5,default,mailto:dmarc.info@blinklearning.com,quarantine,default,default,s,s,default
_dmarc.boozt.com.,DMARC1,quarantine,100,mailto:dmarc_agg@dmarc.everest.email,mailto:dmarc_fr@dmarc.everest.email,quarantine,1,afrf,default,r,default
_dmarc.cloudbooking.com.,DMARC1,reject,100,mailto:dmarc@cloudbooking.com,default,default,default,default,default,default,default
_dmarc.cumul.io.,DMARC1,reject,default,mailto:postmaster+dmarc@cumul.io,mailto:postmaster+dmarc@cumul.io,default,1,default,default,default,default
_dmarc.dlink.com.tw.,DMARC1,reject,default,mailto:DMARC@dlink.com.tw,mailto:DMARC@dlink.com.tw,default,default,default,default,default,default
_dmarc.ebridge.com.,DMARC1,reject,100,mailto:nqxcjsgo@ag.dmarcian.com,default,none,default,default,default,default,86400
_dmarc.em-siteone.quest.,DMARC1,none,default,mailto:postmaster@em-siteone.quest,mailto:postmaster@em-siteone.quest,default,1,default,default,default,default
_dmarc.energytrust.org.,DMARC1,none,default,mailto:david.saladini@energytrust.org,default,default,default,default,default,default,default
_dmarc.f2pool.com.,DMARC1,none,100,mailto:security+dmarc@f2pool.com,default,default,default,default,s,s,default
_dmarc.firsthealth.org.,DMARC1,reject,100,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,3600
_dmarc.grsportal.com.,DMARC1,reject,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.heute.at.,DMARC1,reject,100,"mailto:dmarc-forensik@heute.at,mailto:rua+heute.at@dmarc.barracudanetworks.com","mailto:dmarc-forensik@heute.at,mailto:ruf+heute.at@dmarc.barracudanetworks.com",default,default,default,r,s,default
_dmarc.hyperoptic.com.,DMARC1,none,100,mailto:re+3a8d2e83344f@inbound.dmarcdigests.com,default,none,default,default,default,default,default
_dmarc.imospizza.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.inegi.org.mx.,DMARC1,quarantine,default,mailto:antispam@inegi.org.mx,default,default,default,default,default,default,default
_dmarc.inet.vn.,DMARC1,none,100,mailto:hainm@inet.vn,mailto:hainm@inet.vn,default,default,default,default,default,default
_dmarc.interbank.pe.,DMARC1,quarantine,100,"mailto:interbank_rua@dmarc.cybersoc.deloitte.es,mailto:dmarc_rua@intercorp.com.pe","mailto:interbank_ruf@dmarc.cybersoc.deloitte.es,mailto:dmarc_ruf@intercorp.com.pe",default,1,default,default,default,3600
_dmarc.jiobit.com.,DMARC1,quarantine,100,mailto:john@jiobit.com,default,default,default,default,default,default,default
_dmarc.mercadopago.com.ar.,DMARC1,reject,100,"mailto:dmarcrua@mercadolibre.com, mailto:mercadolibre@rua.netcraft.com, mailto:dmarc_agg@vali.email","mailto:dmarcruf@mercadolibre.com,mailto:mercadolibre@ruf.netcraft.com",default,default,afrf,default,default,default
_dmarc.monument.health.,DMARC1,none,default,mailto:emailmgmt@monument.health,default,default,default,default,default,default,86400
_dmarc.ngx.com.,DMARC1,reject,default,mailto:dmarc-reports@ice.com,mailto:dmarc-forensics@ice.com,default,1,default,default,default,default
_dmarc.obimy.com.,DMARC1,none,default,mailto:hello@obimy.com,mailto:hello@obimy.com,default,default,default,default,default,default
_dmarc.osdu.aws.,DMARC1,reject,default,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,default,default,default,default,default,default
_dmarc.peer2profit.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.pegacloud.io.,DMARC1,none,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.radware.com.,DMARC1,none,default,mailto:dmarc_agg@vali.email,mailto:dmarc@radware.com,default,s,default,default,default,default
_dmarc.rds.ca.,DMARC1,reject,default,mailto:dmarc.rua@rds.ca,mailto:bell-canada@ruf.dmp.cisco.com,default,default,default,default,default,default
_dmarc.riyadbank.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.rozhlas.cz.,DMARC1,reject,100,mailto:dmarc-reports@rozhlas.cz,default,default,default,default,default,default,default
_dmarc.shinola.com.,DMARC1,quarantine,100,mailto:mailsec@shinola.com,mailto:mailsec@shinola.com,default,1,default,default,default,default
_dmarc.somnoware.com.,DMARC1,none,100,mailto:dmarc.rua@somnoware.com,default,default,default,default,default,default,default
_dmarc.thedigitrustgroup.com.,DMARC1,none,default,mailto:support@thedigitrustgroup.com,default,default,default,default,default,default,default
_dmarc.travian.com.,DMARC1,quarantine,default,default,default,default,default,default,default,default,default
_dmarc.aei.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.airbnb.fr.,DMARC1,reject,100,mailto:dmarc.aggregate@airbnb.com,mailto:dmarc.forensic@airbnb.com,default,1,default,r,r,default
_dmarc.amazonquicksight.com.,DMARC1,reject,default,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,default,default,default,default,default,default
_dmarc.banki.ru.,DMARC1,reject,100,mailto:spamreports@banki.ru,mailto:spamreports@banki.ru,default,default,default,default,default,default
_dmarc.billeriq.com.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.casinonet.de.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.cloudworks.com.,DMARC1,none,default,mailto:ephvrmuf@ag.dmarcian.com,mailto:ephvrmuf@fr.dmarcian.com,default,default,default,default,default,default
_dmarc.corus.ca.,DMARC1,quarantine,100,mailto:dmarc.reports@corusent.com,mailto:dmarc.reports@corusent.com,default,default,default,s,s,default
_dmarc.cybernews.com.,DMARC1,quarantine,100,mailto:devs@cybernews.com,default,default,default,default,default,default,default
_dmarc.cybozu.com.,DMARC1,reject,100,mailto:e33d8e269d@rua.easydmarc.asia,default,default,default,default,default,default,default
_dmarc.ecebs.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.ecovadis-survey.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.foco.com.,DMARC1,none,default,mailto:dmarc@foco.com,mailto:dmarc@foco.com,default,1,default,default,default,default
_dmarc.forteresearchapps.com.,DMARC1,reject,default,mailto:250867d7bd39157@rep.dmarcanalyzer.com,mailto:250867d7bd39157@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.fox7austin.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.giftup.app.,DMARC1,quarantine,100,mailto:re+xxqwyvwap7s@inbound.dmarcdigests.com,default,none,default,default,default,r,default
_dmarc.grownbrilliance.com.,DMARC1,quarantine,100,mailto:spam@grownbrilliance.com,mailto:spam@grownbrilliance.com,default,1,default,default,default,default
_dmarc.independenthealth.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.mayoclinichealthsystem.org.,DMARC1,reject,100,mailto:no-service-dmarc-summary@mayo.edu,mailto:no-service-dmarc-details@mayo.edu,reject,1,afrf,s,s,86400
_dmarc.netix.net.,DMARC1,quarantine,5,mailto:office@netix.net,mailto:office@netix.net,default,1,default,default,default,default
_dmarc.nieuwnieuws.nl.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.ocps.net.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.osf.io.,DMARC1,quarantine,100,"mailto:dmarc@osf.io,mailto:dmarc_agg@vali.email",mailto:dmarc@osf.io,default,default,default,default,default,default
_dmarc.pinecast.net.,DMARC1,reject,100,default,default,default,default,default,s,s,default
_dmarc.pobox.com.,DMARC1,none,default,mailto:rua@pobox.fastmaildmarc.com,default,default,1,default,default,default,default
_dmarc.portfolium.com.,DMARC1,quarantine,100,"mailto:re+svq4c3rurqa@dmarc.postmarkapp.com,mailto:fc92c7c69de4119@rep.dmarcanalyzer.com",default,none,default,default,default,r,default
_dmarc.powerusersoftware.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.procentive.com.,DMARC1,none,default,mailto:a440cae76a7b751@rep.dmarcanalyzer.com,mailto:a440cae76a7b751@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.questbridge.org.,DMARC1,reject,100,mailto:questsitemanager@questbridge.org,default,default,default,default,default,default,default
_dmarc.roymorgan.com.,DMARC1,none,100,mailto:network-abuse@roymorgan.com,mailto:network-abuse@roymorgan.com,none,default,afrf,default,default,86400
_dmarc.securedocs.com.,DMARC1,quarantine,75,mailto:u6h0hiob@ag.us.dmarcian.com,mailto:u6h0hiob@fr.us.dmarcian.com,default,1,default,default,default,default
_dmarc.sitespeaker.link.,DMARC1,quarantine,default,mailto:support@sitespeaker.link,default,default,default,default,default,default,default
_dmarc.skimlinks.com.,DMARC1,reject,100,"mailto:dmarc@skimlinks.com,mailto:re+tkt7jb1pjl5@dmarc.postmarkapp.com,mailto:re+c5bc31eab4c4@inbound.dmarcdigests.com",mailto:dmarc@skimlinks.com,none,default,default,default,r,86400
_dmarc.soundhound.com.,DMARC1,quarantine,default,mailto:dmarc@soundhound.com,mailto:dmarc-ruf@soundhound.com,default,default,default,default,default,default
_dmarc.sparklabs.com.,DMARC1,quarantine,default,default,default,default,default,default,default,default,default
_dmarc.travelbank.com.,DMARC1,quarantine,100,"mailto:dmarc@travelbank.com,mailto:us-bank@rua.agari.com","mailto:dmarc@travelbank.com,mailto:us-bank@ruf.agari.com",default,default,afrf,default,default,default
_dmarc.vbotickets.com.,DMARC1,none,default,mailto:dmarc-reports@vbotickets.com,default,default,default,default,default,default,default
_dmarc.wwu.edu.,DMARC1,none,default,"mailto:dmarc_agg@wwu.edu,mailto:dmarc_rua@wwu.edu",mailto:dmarc_ruf@wwu.edu,default,1,default,default,default,default
_dmarc.xdaforums.com.,DMARC1,quarantine,default,default,default,default,default,default,s,s,default
_dmarc.york.ac.uk.,DMARC1,reject,default,mailto:JFF2GGVkzEr@dmarc-rua.mailcheck.service.ncsc.gov.uk,default,reject,default,default,s,r,default
_dmarc.abs-cbnnews.com.,DMARC1,reject,default,default,default,reject,default,default,s,s,default
_dmarc.adr.org.,DMARC1,none,100,"mailto:Dmarc-rua@adr.org, mailto:dmarc@mailinblue.com!10m","mailto:Dmarc-ruf@adr.org, mailto:dmarc@mailinblue.com!10m",none,1,afrf,default,default,86400
_dmarc.bradescoseguros.com.br.,DMARC1,quarantine,default,mailto:rua@bradescoseguros.com.br,mailto:ruf@bradescoseguros.com.br,default,1,default,default,default,default
_dmarc.checkout51.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.danamon.co.id.,DMARC1,quarantine,default,"mailto:group.tmt@danamon.co.id,mailto:alert.notification@danamon.co.id","mailto:group.tmt@danamon.co.id,mailto:alert.notification@danamon.co.id",quarantine,1,default,default,default,default
_dmarc.dubizzle.com.,DMARC1,reject,100,default,default,default,default,afrf,s,r,default
_dmarc.dukehealth.org.,DMARC1,none,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.e-dialog.com.,DMARC1,none,default,mailto:dmarc@e-dialog.com,default,default,default,default,default,default,default
_dmarc.ediversitynetwork.com.,DMARC1,none,100,mailto:Dmarc@staples.com,default,default,default,default,default,default,default
_dmarc.foxconn.com.,DMARC1,none,default,mailto:xiangy@foxconn.com,default,none,default,default,default,default,default
_dmarc.gibsondunn.com.,DMARC1,none,100,"mailto:gibson-dunn-crutcher@rua.dmp.cisco.com,mailto:dmarc_rua@gibsondunn.com","mailto:gibson-dunn-crutcher@ruf.dmp.cisco.com,mailto:dmarc_ruf@gibsondunn.com",none,1,afrf,default,default,86400
_dmarc.hashnode.com.,DMARC1,quarantine,default,"mailto:hashnode@rua.agari.com,mailto:sandeep@hashnode.com","mailto:hashnode@ruf.agari.com,mailto:sandeep@hashnode.com",none,1,default,default,default,3600
_dmarc.healthcaretalentsource.com.,DMARC1,quarantine,default,mailto:postmaster@healthcaresource.com,mailto:postmaster@healthcaresource.com,default,1,default,default,default,default
_dmarc.hersheypa.com.,DMARC1,quarantine,50,mailto:e82885ecec@rua.easydmarc.us,mailto:e82885ecec@ruf.easydmarc.us,default,1,default,default,default,default
_dmarc.hmpgloballearningnetwork.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.jncb.com.,DMARC1,quarantine,default,default,default,default,default,default,default,default,default
_dmarc.kb4compliance.com.,DMARC1,none,default,mailto:kb4@rua.agari.com,mailto:kb4@ruf.agari.com,default,1,default,default,default,3600
_dmarc.lakeside.com.,DMARC1,none,100,mailto:DMARCAgg@Lakeside.com,default,none,default,afrf,default,default,default
_dmarc.legalexchange.com.,DMARC1,quarantine,default,default,default,none,1,default,default,default,default
_dmarc.maestro.io.,DMARC1,quarantine,100,mailto:dmarc-reports@maestro.io,default,default,default,default,r,r,default
_dmarc.muscleandfitness.com.,DMARC1,reject,default,mailto:dtcyxout@ag.dmarcian.com,mailto:dtcyxout@fr.dmarcian.com,reject,1,default,s,s,86400
_dmarc.ngahr.com.,DMARC1,reject,default,"mailto:dmarc_agg@vali.email,mailto:bab9625a2d81b58f32c25bc06c36a9de-d@dmarc.report-uri.com,mailto:dmarc.reports@ngahr.com,mailto:re+ix7m11mfc53@dmarc.postmarkapp.com",mailto:dmarc.reports@ngahr.com,reject,default,default,default,default,default
_dmarc.orbit.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.quantic.edu.,DMARC1,none,100,mailto:re+uu6jafykwcn@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.rapmls.com.,DMARC1,none,default,mailto:postmaster@rapattoni.com,default,default,default,default,default,default,default
_dmarc.rmb-lab.jp.,DMARC1,reject,default,mailto:dmarc-report-a@rx.rakuten.co.jp,default,default,default,default,default,default,default
_dmarc.s1gateway.com.,DMARC1,none,default,mailto:dmarc@slot1.io,default,default,default,default,default,default,default
_dmarc.seesaw.com.,DMARC1,none,default,mailto:dmarc@seesaw.me,default,default,default,default,default,default,default
_dmarc.sequoia.com.,DMARC1,reject,default,"mailto:dmarcreports@sequoia.com,mailto:dx1sqgaj@ag.us.dmarcian.com","mailto:dmarcreports@sequoia.com,mailto:dx1sqgaj@fr.us.dmarcian.com",default,default,default,default,default,default
_dmarc.smartone.com.,DMARC1,none,default,mailto:mailauth-report@smartone.com,default,default,default,default,default,default,default
_dmarc.snapeda.com.,DMARC1,quarantine,50,default,default,default,default,default,default,default,default
_dmarc.telus.net.,DMARC1,none,default,mailto:zskhhmge@ag.ca.dmarcian.com,default,default,default,default,default,default,default
_dmarc.ulg.ac.be.,DMARC1,none,default,mailto:mailauth-reports@segi.ulg.ac.be,mailto:mailauth-reports@segi.ulg.ac.be,default,default,default,default,default,default
_dmarc.unwire.com.,DMARC1,none,default,mailto:dmarc@collector.unwire.com,default,default,default,default,default,default,default
_dmarc.withcabin.com.,default,default,default,default,default,default,default,default,default,default,default
_dmarc.agea.com.ar.,DMARC1,none,default,mailto:dmarc@planisys.com,default,default,default,default,default,default,default
_dmarc.asahq.org.,DMARC1,none,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.aula.education.,DMARC1,quarantine,90,mailto:matt.sharp@aula.ac.uk,default,none,default,default,default,default,default
_dmarc.businesstimes.com.sg.,DMARC1,none,default,mailto:27492b4ccc0b960@rep.dmarcanalyzer.com,mailto:dmarcsph2-usrgrp@sph.com.sg,default,1,default,default,default,default
_dmarc.celebritynetworth.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.cielo24.com.,DMARC1,quarantine,default,mailto: devs@cielo24.com,default,default,default,default,default,default,default
_dmarc.cleanharbors.com.,DMARC1,none,default,"mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:0bf527574a08068@rep.dmarcanalyzer.com","mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:0bf527574a08068@for.dmarcanalyzer.com",default,1,default,default,default,default
_dmarc.contacta.io.,DMARC1,reject,100,mailto:dmarc_agg@dmarc.everest.email,mailto:dmarc_fr@dmarc.everest.email,default,1,afrf,default,default,default
_dmarc.corehighered.com.,DMARC1,reject,default,mailto:dmarc@corehighered.com,default,default,default,default,default,default,default
_dmarc.courtlistener.com.,DMARC1,quarantine,default,mailto:re+pxi1s6rgd7c@dmarc.postmarkapp.com,default,default,default,default,default,default,default
_dmarc.dartmouth-health.org.,DMARC1,quarantine,default,mailto:dmarcreports@hitchcock.org,mailto:dmarcreports@hitchcock.org,quarantine,1,default,default,default,default
_dmarc.doradosystems.com.,DMARC1,none,default,"mailto:dmarc@waystar.com,mailto:oxsih6vwmmvgxvdk@securemailanalytics.com","mailto:dmarc@waystar.com,mailto:oxsih6vwmmvgxvdk@securemailanalytics.com",default,1,default,default,default,default
_dmarc.email-biolifeplasma.com.,DMARC1,reject,100,default,default,default,default,default,s,r,default
_dmarc.epayco.co.,DMARC1,quarantine,100,default,default,none,0,afrf,r,r,86400
_dmarc.estorilsolcasinos.pt.,DMARC1,quarantine,100,"mailto:5fe0c9e0d30dd@ag.dmarcly.com,mailto:dmarc@mailinblue.com!10m","mailto:5fe0c9e0d30dd@fo.dmarcly.com,mailto:dmarc@mailinblue.com!10m",none,1,afrf,default,default,86400
_dmarc.exym1.com.,DMARC1,reject,default,default,default,reject,default,default,s,s,default
_dmarc.getquip.com.,DMARC1,quarantine,100,mailto:re+ib7hw0kn2el@dmarc.postmarkapp.com,default,quarantine,default,default,default,r,default
_dmarc.hermescloud.co.uk.,DMARC1,none,100,mailto:198c6179@inbox.ondmarc.com,mailto:198c6179@inbox.ondmarc.com,default,1,default,default,default,3600
_dmarc.hubspotfree.net.,DMARC1,reject,100,mailto:bdlk5ayo@ag.dmarcian.com,mailto:bdlk5ayo@fr.dmarcian.com,default,default,default,default,default,default
_dmarc.jhacardconnect.com.,DMARC1,none,default,mailto:37b92ed7f7cc940@rep.dmarcanalyzer.com,mailto:37b92ed7f7cc940@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.keap-link013.com.,DMARC1,reject,default,infdmarcaggr@infusionmail.com,mailto:infdmarcforensics@infusionmail.com,default,1,default,s,s,default
_dmarc.loop.tv.,DMARC1,none,default,mailto:dmarc@loop.tv,default,default,default,default,default,default,default
_dmarc.mycigna.com.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,1,default,default,default,default
_dmarc.paramountcommunication.com.,DMARC1,reject,default,mailto:bmoser@paramountcommunication.com,default,default,default,default,default,default,default
_dmarc.pasi.gov.om.,DMARC1,reject,100,mailto:d1wx9mwk6w@rua.powerdmarc.com,mailto:d1wx9mwk6w@ruf.powerdmarc.com,reject,1,default,default,default,default
_dmarc.polskapress.pl.,DMARC1,reject,default,mailto:dmarc@polskapress.pl,default,default,default,default,default,default,default
_dmarc.qwak.ai.,DMARC1,reject,10,mailto:dmarc-reports@qwak.ai,default,default,default,default,s,s,default
_dmarc.reactandshare.com.,DMARC1,none,default,mailto:lauri@reactandshare.com,default,default,default,default,default,default,default
_dmarc.registermyathlete.com.,DMARC1,none,default,mailto:45c2b87a954242e59d1367448cd42996@dmarc-reports.cloudflare.net,default,default,default,default,default,default,default
_dmarc.riverty.com.,DMARC1,quarantine,100,"mailto:afs-rua@dmarc.servicemail24.de,mailto:hpglg5ix@ag.eu.dmarcian.com",default,quarantine,default,default,default,default,86400
_dmarc.sayhitranslate.com.,DMARC1,quarantine,100,default,default,default,1,default,default,default,default
_dmarc.traveluro.com.,DMARC1,none,default,mailto:dmarc@traveluro.com,default,default,default,default,default,default,86400
_dmarc.uesp.net.,DMARC1,none,100,mailto:dave@uesp.net,default,none,default,default,default,default,default
_dmarc.vmbc.com.,DMARC1,none,100,"mailto:Dmarc.Notifications@emerios.com,mailto:f94feaa301@rua.easydmarc.com",mailto:f94feaa301@ruf.easydmarc.com,default,1,default,r,r,default
_dmarc.wiscnet.net.,DMARC1,none,default,mailto:hostmaster-logs@wiscnet.net,default,default,default,default,r,s,default
_dmarc.astroline.today.,DMARC1,reject,default,mailto:sub@sub.astroline.today,default,reject,default,default,default,default,default
_dmarc.atomicorp.com.,DMARC1,none,100,mailto:dmarc@atomicorp.com,mailto:dmarc@atomicorp.com,none,default,afrf,default,default,86400
_dmarc.baerskinhoodie.com.,DMARC1,none,default,mailto:61b486be5c80a@ag.dmarcly.com,mailto:61b486be5c80a@fo.dmarcly.com,none,default,default,default,default,default
_dmarc.brite.com.,DMARC1,reject,default,mailto:dmarc@brite.com,mailto:dmarc@brite.com,none,1,default,default,default,default
_dmarc.cliniko.com.,DMARC1,reject,default,mailto:postmaster@cliniko.com,default,default,default,default,default,default,default
_dmarc.democracynow.org.,DMARC1,none,default,mailto:dmarc@democracynow.org,mailto:dmarc@democracynow.org,default,1,default,default,default,default
_dmarc.dentonisd.org.,DMARC1,none,100,mailto:O365Admins@dentonstudent.onmicrosoft.com,mailto:O365Admins@dentonstudent.onmicrosoft.com,default,default,default,default,s,default
_dmarc.dreft.com.,DMARC1,none,default,mailto:procter-gamble@rua.dmp.cisco.com,mailto:procter-gamble@ruf.dmp.cisco.com,default,1,default,default,default,3600
_dmarc.driversnote.com.,DMARC1,none,100,mailto:re+apnfqecllcb@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.ellentube-mail.com.,DMARC1,none,100,mailto:re+osmz93r9cuj@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.engagedly.com.,DMARC1,quarantine,default,default,default,default,default,default,default,default,default
_dmarc.exelatech.com.,DMARC1,reject,100,"mailto:email.support@exelatech.com,mailto:qves6ugr@ag.dmarcian.com","mailto:email.support@exelatech.com,mailto:qves6ugr@fr.dmarcian.com",reject,1,default,default,default,3600
_dmarc.exnessaffiliates.com.,DMARC1,quarantine,80,mailto:abuse@exness.com,default,default,default,default,default,default,default
_dmarc.fancode.com.,DMARC1,quarantine,100,mailto:dmarc.rua@fancode.com,default,default,default,default,default,default,default
_dmarc.greenrope.com.,DMARC1,none,100,mailto:dmarc_agg@dmarc.everest.email,mailto:dmarc_fr@dmarc.everest.email,default,1,afrf,default,default,default
_dmarc.heyhetisoke.nl.,DMARC1,reject,default,default,default,default,default,default,default,default,default
_dmarc.hkex.com.hk.,DMARC1,none,100,mailto:dmarc.reports@hkex.com.hk,mailto:dmarc.reports@hkex.com.hk,default,1,default,default,default,default
_dmarc.icfsys.com.,default,default,default,default,default,default,default,default,default,default,default
_dmarc.ikea.de.,DMARC1,reject,default,mailto:dmarc_rua@ikea.com,mailto:dmarc_ruf@ikea.com,default,1,default,default,default,default
_dmarc.imagineiti.com.,DMARC1,reject,default,mailto:48fge8ycyw@rua.powerdmarc.com,mailto:48fge8ycyw@ruf.powerdmarc.com,default,default,default,default,default,default
_dmarc.intechopen.com.,DMARC1,none,100,"mailto:dmarc_agg@vali.email,mailto:dmarc-reports@intechopen.com",mailto:dmarc-reports@intechopen.com,none,1,afrf,r,r,86400
_dmarc.kingarthurflour.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.lillypulitzer.com.,DMARC1,reject,default,mailto:b5ce5c26@in.mailhardener.com,mailto:b5ce5c26@in.mailhardener.com,default,1,default,default,default,default
_dmarc.lomadee.com.,DMARC1,quarantine,100,default,default,default,1,default,default,default,default
_dmarc.montgomerycountymd.gov.,DMARC1,none,100,mailto:rufa@montgomerycountymd.gov,mailto:ruf@montgomerycountymd.gov,default,1,default,default,default,default
_dmarc.prilosecotc.com.,DMARC1,reject,default,mailto:procter-gamble@rua.dmp.cisco.com,mailto:procter-gamble@ruf.dmp.cisco.com, none,1,default,default,default,3600
_dmarc.profootballrumors.com.,DMARC1,reject,100,mailto:re+7fd866f8c585@inbound.dmarcdigests.com,default,reject,default,default,r,r,default
_dmarc.prom-xcams.com.,DMARC1,reject,default,default,default,default,default,default,default,default,default
_dmarc.rapidcompute.com.,DMARC1,none,default,mailto:rapid.dmrac@rapidcompute.com,default,default,default,default,default,default,default
_dmarc.rotter.net.,DMARC1,quarantine,20,mailto:postmaster@rotter.net,default,default,default,default,default,r,default
_dmarc.small-improvements.com.,DMARC1,quarantine,default,mailto:d+6trhq9n7@dmarc.lv,mailto:dmarc@small-improvements.com,default,1,default,default,default,default
_dmarc.sohohouse.com.,DMARC1,none,100,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,reject,1:d:s,afrf,s,r,86400
_dmarc.stats.gov.my.,DMARC1,none,default,mailto:dmarc-reports@dosm.gov.my,default,quarantine,default,default,default,default,default
_dmarc.teachbanzai.com.,DMARC1,none,100,mailto:re+hpdrjwd6jet@dmarc.postmarkapp.com,default,none,default,default,default,s,default
_dmarc.uni-paderborn.de.,DMARC1,none,100,mailto:postmaster@uni-paderborn.de,mailto:postmaster@uni-paderborn.de,none,0,afrf,r,r,84600
_dmarc.varsity.com.,DMARC1,none,default,mailto:d029f23a34e8057@rep.dmarcanalyzer.com,mailto:d029f23a34e8057@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.verticalscreen.com.,DMARC1,reject,100,mailto:vertical-screen@rua.dmp.cisco.com,mailto:vertical-screen@ruf.dmp.cisco.com,default,1,default,default,default,3600
_dmarc.activecampaign.com.,DMARC1,quarantine,default,"mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:re+eab9f0889f10@inbound.dmarcdigests.com",mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.afsi.com.,spf1 mx include:act-on.net ~all,default,default,default,default,default,default,default,default,default,default
_dmarc.airties.com.,DMARC1,none,100,default,default,default,1,default,default,r,default
_dmarc.avanza.se.,DMARC1,reject,100,"mailto:rua.dmarc@avanza.se,mailto:85cbbed0@mxtoolbox.dmarc-report.com","mailto:ruf.dmarc@avanza.se,mailto:85cbbed0@forensics.dmarc-report.com",default,1,default,default,default,default
_dmarc.careerboutique.com.,DMARC1,reject,100,mailto:dmarc@careerboutique.com,mailto:dmarc@careerboutique.com,default,1,afrf,default,default,default
_dmarc.ch9.ms.,DMARC1,reject,100,mailto:d@rua.agari.com,mailto:d@ruf.agari.com,default,1,default,default,default,default
_dmarc.cleveland19.com.,DMARC1,none,default,mailto:rua+cleveland19.com@dmarc.barracudanetworks.com,mailto:ruf+cleveland19.com@dmarc.barracudanetworks.com,default,1,default,default,default,default
_dmarc.closerweekly.com.,DMARC1,reject,default,mailto:dtcyxout@ag.dmarcian.com,mailto:dtcyxout@fr.dmarcian.com,reject,1,default,s,s,86400
_dmarc.continente.pt.,DMARC1,reject,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.decisivetactics.com.,DMARC1,reject,100,mailto:dmarc@reports.decisivetactics.com,mailto:dmarc@reports.decisivetactics.com,default,1,default,default,default,default
